ccode_pew,satis,age,age2,iso2c,CountryName,year,inc,exp
8,2,47,2209,CN,China,2002,1148.5082904417,15.6031770825526
8,5,45,2025,CN,China,2002,1148.5082904417,15.6031770825526
8,5,40,1600,CN,China,2002,1148.5082904417,15.6031770825526
8,4,48,2304,CN,China,2002,1148.5082904417,15.6031770825526
8,6,50,2500,CN,China,2002,1148.5082904417,15.6031770825526
8,6,55,3025,CN,China,2002,1148.5082904417,15.6031770825526
8,2,34,1156,CN,China,2002,1148.5082904417,15.6031770825526
8,5,34,1156,CN,China,2002,1148.5082904417,15.6031770825526
8,5,46,2116,CN,China,2002,1148.5082904417,15.6031770825526
8,6,43,1849,CN,China,2002,1148.5082904417,15.6031770825526
8,6,48,2304,CN,China,2002,1148.5082904417,15.6031770825526
8,8,43,1849,CN,China,2002,1148.5082904417,15.6031770825526
8,6,38,1444,CN,China,2002,1148.5082904417,15.6031770825526
8,6,34,1156,CN,China,2002,1148.5082904417,15.6031770825526
8,9,46,2116,CN,China,2002,1148.5082904417,15.6031770825526
8,8,45,2025,CN,China,2002,1148.5082904417,15.6031770825526
8,7,42,1764,CN,China,2002,1148.5082904417,15.6031770825526
8,3,42,1764,CN,China,2002,1148.5082904417,15.6031770825526
8,3,48,2304,CN,China,2002,1148.5082904417,15.6031770825526
8,5,58,3364,CN,China,2002,1148.5082904417,15.6031770825526
8,6,51,2601,CN,China,2002,1148.5082904417,15.6031770825526
8,4,27,729,CN,China,2002,1148.5082904417,15.6031770825526
8,5,40,1600,CN,China,2002,1148.5082904417,15.6031770825526
8,5,39,1521,CN,China,2002,1148.5082904417,15.6031770825526
8,2,50,2500,CN,China,2002,1148.5082904417,15.6031770825526
8,6,21,441,CN,China,2002,1148.5082904417,15.6031770825526
8,5,21,441,CN,China,2002,1148.5082904417,15.6031770825526
8,7,39,1521,CN,China,2002,1148.5082904417,15.6031770825526
8,3,59,3481,CN,China,2002,1148.5082904417,15.6031770825526
8,5,47,2209,CN,China,2002,1148.5082904417,15.6031770825526
8,10,45,2025,CN,China,2002,1148.5082904417,15.6031770825526
8,7,48,2304,CN,China,2002,1148.5082904417,15.6031770825526
8,5,54,2916,CN,China,2002,1148.5082904417,15.6031770825526
8,5,32,1024,CN,China,2002,1148.5082904417,15.6031770825526
8,8,59,3481,CN,China,2002,1148.5082904417,15.6031770825526
8,6,43,1849,CN,China,2002,1148.5082904417,15.6031770825526
8,2,42,1764,CN,China,2002,1148.5082904417,15.6031770825526
8,5,59,3481,CN,China,2002,1148.5082904417,15.6031770825526
8,9,31,961,CN,China,2002,1148.5082904417,15.6031770825526
8,8,41,1681,CN,China,2002,1148.5082904417,15.6031770825526
8,7,50,2500,CN,China,2002,1148.5082904417,15.6031770825526
8,8,48,2304,CN,China,2002,1148.5082904417,15.6031770825526
8,8,29,841,CN,China,2002,1148.5082904417,15.6031770825526
8,8,23,529,CN,China,2002,1148.5082904417,15.6031770825526
8,5,42,1764,CN,China,2002,1148.5082904417,15.6031770825526
8,5,47,2209,CN,China,2002,1148.5082904417,15.6031770825526
8,6,52,2704,CN,China,2002,1148.5082904417,15.6031770825526
8,5,43,1849,CN,China,2002,1148.5082904417,15.6031770825526
8,5,60,3600,CN,China,2002,1148.5082904417,15.6031770825526
8,1,40,1600,CN,China,2002,1148.5082904417,15.6031770825526
8,6,47,2209,CN,China,2002,1148.5082904417,15.6031770825526
8,7,48,2304,CN,China,2002,1148.5082904417,15.6031770825526
8,0,48,2304,CN,China,2002,1148.5082904417,15.6031770825526
8,6,39,1521,CN,China,2002,1148.5082904417,15.6031770825526
8,4,30,900,CN,China,2002,1148.5082904417,15.6031770825526
8,6,34,1156,CN,China,2002,1148.5082904417,15.6031770825526
8,4,42,1764,CN,China,2002,1148.5082904417,15.6031770825526
8,4,22,484,CN,China,2002,1148.5082904417,15.6031770825526
8,0,58,3364,CN,China,2002,1148.5082904417,15.6031770825526
8,1,38,1444,CN,China,2002,1148.5082904417,15.6031770825526
8,1,46,2116,CN,China,2002,1148.5082904417,15.6031770825526
8,2,47,2209,CN,China,2002,1148.5082904417,15.6031770825526
8,4,41,1681,CN,China,2002,1148.5082904417,15.6031770825526
8,5,57,3249,CN,China,2002,1148.5082904417,15.6031770825526
8,8,49,2401,CN,China,2002,1148.5082904417,15.6031770825526
8,6,43,1849,CN,China,2002,1148.5082904417,15.6031770825526
8,1,45,2025,CN,China,2002,1148.5082904417,15.6031770825526
8,8,43,1849,CN,China,2002,1148.5082904417,15.6031770825526
8,5,40,1600,CN,China,2002,1148.5082904417,15.6031770825526
8,6,48,2304,CN,China,2002,1148.5082904417,15.6031770825526
8,5,59,3481,CN,China,2002,1148.5082904417,15.6031770825526
8,5,35,1225,CN,China,2002,1148.5082904417,15.6031770825526
8,5,42,1764,CN,China,2002,1148.5082904417,15.6031770825526
8,7,42,1764,CN,China,2002,1148.5082904417,15.6031770825526
8,7,41,1681,CN,China,2002,1148.5082904417,15.6031770825526
8,6,45,2025,CN,China,2002,1148.5082904417,15.6031770825526
8,5,52,2704,CN,China,2002,1148.5082904417,15.6031770825526
8,8,29,841,CN,China,2002,1148.5082904417,15.6031770825526
8,5,41,1681,CN,China,2002,1148.5082904417,15.6031770825526
8,8,45,2025,CN,China,2002,1148.5082904417,15.6031770825526
8,5,50,2500,CN,China,2002,1148.5082904417,15.6031770825526
8,6,50,2500,CN,China,2002,1148.5082904417,15.6031770825526
8,5,52,2704,CN,China,2002,1148.5082904417,15.6031770825526
8,5,40,1600,CN,China,2002,1148.5082904417,15.6031770825526
8,5,45,2025,CN,China,2002,1148.5082904417,15.6031770825526
8,3,42,1764,CN,China,2002,1148.5082904417,15.6031770825526
8,8,22,484,CN,China,2002,1148.5082904417,15.6031770825526
8,5,44,1936,CN,China,2002,1148.5082904417,15.6031770825526
8,6,51,2601,CN,China,2002,1148.5082904417,15.6031770825526
8,7,35,1225,CN,China,2002,1148.5082904417,15.6031770825526
8,5,46,2116,CN,China,2002,1148.5082904417,15.6031770825526
8,3,47,2209,CN,China,2002,1148.5082904417,15.6031770825526
8,3,53,2809,CN,China,2002,1148.5082904417,15.6031770825526
8,5,55,3025,CN,China,2002,1148.5082904417,15.6031770825526
8,3,30,900,CN,China,2002,1148.5082904417,15.6031770825526
8,6,40,1600,CN,China,2002,1148.5082904417,15.6031770825526
8,6,25,625,CN,China,2002,1148.5082904417,15.6031770825526
8,6,47,2209,CN,China,2002,1148.5082904417,15.6031770825526
8,0,44,1936,CN,China,2002,1148.5082904417,15.6031770825526
8,5,32,1024,CN,China,2002,1148.5082904417,15.6031770825526
8,0,43,1849,CN,China,2002,1148.5082904417,15.6031770825526
8,5,59,3481,CN,China,2002,1148.5082904417,15.6031770825526
8,5,25,625,CN,China,2002,1148.5082904417,15.6031770825526
8,6,53,2809,CN,China,2002,1148.5082904417,15.6031770825526
8,5,50,2500,CN,China,2002,1148.5082904417,15.6031770825526
8,5,41,1681,CN,China,2002,1148.5082904417,15.6031770825526
8,5,50,2500,CN,China,2002,1148.5082904417,15.6031770825526
8,1,55,3025,CN,China,2002,1148.5082904417,15.6031770825526
8,5,34,1156,CN,China,2002,1148.5082904417,15.6031770825526
8,3,59,3481,CN,China,2002,1148.5082904417,15.6031770825526
8,5,50,2500,CN,China,2002,1148.5082904417,15.6031770825526
8,5,52,2704,CN,China,2002,1148.5082904417,15.6031770825526
8,1,40,1600,CN,China,2002,1148.5082904417,15.6031770825526
8,1,43,1849,CN,China,2002,1148.5082904417,15.6031770825526
8,5,24,576,CN,China,2002,1148.5082904417,15.6031770825526
8,5,29,841,CN,China,2002,1148.5082904417,15.6031770825526
8,6,59,3481,CN,China,2002,1148.5082904417,15.6031770825526
8,7,36,1296,CN,China,2002,1148.5082904417,15.6031770825526
