ccode_pew,CountryName,cm_satis,exp,inc
8,China,5.17448008459641,15.6031770825526,1148.5082904417
17,India,5.08585055643879,11.5747281315252,466.200804226316
18,Indonesia,5.76153846153846,6.81626629268959,957.780642936912
27,Pakistan,5.47268262737876,8.72392061004516,499.860003292353
31,Russian Federation,4.74126637554585,17.9536342811039,2375.05904394498
40,United States,7.01927710843374,15.0431509356308,38166.0378407812
45,Jordan,5.343716433942,22.6907456259084,1812.28837444928
